S/N,State,Hospital Name,Disease,Total Visits,Reported Cases,Month,Year,Date
7697,Imo,FMC Owerri - Federal Medical Centre,Typhoid,13175,4515,March,2017,"Wednesday, March 1, 2017"
7698,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,42756,3693,December,2013,"Sunday, December 1, 2013"
7699,Plateau,BUTH - Bingham University Teaching Hospital,Lassa Fever,62715,10931,December,2010,"Wednesday, December 1, 2010"
7700,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,28429,2170,April,2011,"Friday, April 1, 2011"
7701,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Tuberculosis,40732,15470,November,2009,"Sunday, November 1, 2009"
7702,Imo,FMC Owerri - Federal Medical Centre,Cholera,11913,1147,March,2024,"Friday, March 1, 2024"
7703,Delta,DELTA FMC - Federal Medical Centre Asaba,Lassa Fever,63727,14814,October,2013,"Tuesday, October 1, 2013"
7704,Ogun,FMC Abeokuta - Federal Medical Centre,Tuberculosis,54147,5686,February,2012,"Wednesday, February 1, 2012"
7705,Lagos,LASUTH - Lagos State University Teaching Hospital,Malaria,67028,12859,December,2012,"Saturday, December 1, 2012"
7706,Ogun,FMC Abeokuta - Federal Medical Centre,Typhoid,39176,1487,December,2000,"Friday, December 1, 2000"
7707,Lagos,LUTH - Lagos University Teaching Hospital,Measles,55097,8957,December,2018,"Saturday, December 1, 2018"
7708,Oyo,"UCH - University College Hospital, Ibadan",Cholera,61782,7161,January,2006,"Sunday, January 1, 2006"
7709,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,12170,1531,August,2001,"Wednesday, August 1, 2001"
7710,Lagos,LASUTH - Lagos State University Teaching Hospital,Lassa Fever,56986,15056,April,2005,"Friday, April 1, 2005"
7711,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Typhoid,55342,23904,February,2022,"Tuesday, February 1, 2022"
7712,Ogun,FMC Abeokuta - Federal Medical Centre,Cholera,5280,1528,October,2004,"Friday, October 1, 2004"
7713,Ogun,FMC Abeokuta - Federal Medical Centre,Lassa Fever,6456,2672,October,2002,"Tuesday, October 1, 2002"
7714,Lagos,LASUTH - Lagos State University Teaching Hospital,Malaria,13430,3861,May,2023,"Monday, May 1, 2023"
7715,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,2743,366,March,2020,"Sunday, March 1, 2020"
7716,Oyo,"UCH - University College Hospital, Ibadan",Lassa Fever,64653,23104,July,2010,"Thursday, July 1, 2010"
7717,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Tuberculosis,35018,467,August,2002,"Thursday, August 1, 2002"
7718,Edo,UBTH - University of Benin Teaching Hospital,Malaria,78383,19692,July,2016,"Friday, July 1, 2016"
7719,Edo,UBTH - University of Benin Teaching Hospital,Tuberculosis,67498,17858,February,2010,"Monday, February 1, 2010"
7720,Bayelsa,FMC Yenagoa - Federal Medical Centre,Typhoid,16288,1981,November,2008,"Saturday, November 1, 2008"
7721,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,64131,18660,October,2014,"Wednesday, October 1, 2014"
7722,Imo,FMC Owerri - Federal Medical Centre,Typhoid,37335,3800,September,2013,"Sunday, September 1, 2013"
7723,Delta,DELTA FMC - Federal Medical Centre Asaba,Tuberculosis,77176,5019,September,2006,"Friday, September 1, 2006"
7724,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,33351,6037,July,2023,"Saturday, July 1, 2023"
7725,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Typhoid,64459,14452,March,2019,"Friday, March 1, 2019"
7726,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,67123,25787,February,2016,"Monday, February 1, 2016"
7727,Plateau,BUTH - Bingham University Teaching Hospital,Lassa Fever,56461,5570,August,2002,"Thursday, August 1, 2002"
7728,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,30953,9170,March,2020,"Sunday, March 1, 2020"
7729,Edo,UBTH - University of Benin Teaching Hospital,Tuberculosis,28673,1928,May,2021,"Saturday, May 1, 2021"
7730,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Lassa Fever,37305,14290,July,2000,"Saturday, July 1, 2000"
7731,Lagos,LASUTH - Lagos State University Teaching Hospital,Typhoid,62427,28807,March,2016,"Tuesday, March 1, 2016"
7732,Ogun,FMC Abeokuta - Federal Medical Centre,Typhoid,20480,4165,November,2009,"Sunday, November 1, 2009"
7733,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Lassa Fever,45021,5385,July,2017,"Saturday, July 1, 2017"
7734,Edo,UBTH - University of Benin Teaching Hospital,Cholera,42909,4752,September,2007,"Saturday, September 1, 2007"
7735,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Typhoid,46254,2218,June,2024,"Saturday, June 1, 2024"
7736,Edo,UBTH - University of Benin Teaching Hospital,Lassa Fever,54009,8298,June,2009,"Monday, June 1, 2009"
7737,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,11325,593,May,2006,"Monday, May 1, 2006"
7738,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Measles,72961,13273,June,2023,"Thursday, June 1, 2023"
7739,Imo,FMC Owerri - Federal Medical Centre,Malaria,64175,13635,December,2007,"Saturday, December 1, 2007"
7740,Edo,UBTH - University of Benin Teaching Hospital,Typhoid,78779,27037,June,2002,"Saturday, June 1, 2002"
7741,Lagos,LUTH - Lagos University Teaching Hospital,Typhoid,14300,3779,March,2014,"Saturday, March 1, 2014"
7742,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,7004,3129,March,2017,"Wednesday, March 1, 2017"
7743,Edo,UBTH - University of Benin Teaching Hospital,Lassa Fever,62654,30754,January,2013,"Tuesday, January 1, 2013"
7744,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,28606,8081,June,2013,"Saturday, June 1, 2013"
7745,Plateau,JUTH - Jos University Teaching Hospital,Typhoid,47292,8182,September,2012,"Saturday, September 1, 2012"
7746,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,62139,6717,June,2013,"Saturday, June 1, 2013"
7747,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,71159,20386,June,2008,"Sunday, June 1, 2008"
7748,Kogi,FMC Lokoja - Federal Medical Centre,Malaria,5847,1855,March,2021,"Monday, March 1, 2021"
7749,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,48931,16044,November,2004,"Monday, November 1, 2004"
7750,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Measles,47694,18197,August,2003,"Friday, August 1, 2003"
7751,Edo,UBTH - University of Benin Teaching Hospital,Tuberculosis,8202,1103,October,2002,"Tuesday, October 1, 2002"
7752,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Measles,44862,10415,February,2016,"Monday, February 1, 2016"
7753,Oyo,"UCH - University College Hospital, Ibadan",Lassa Fever,49795,21661,April,2000,"Saturday, April 1, 2000"
7754,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,8198,2452,December,2005,"Thursday, December 1, 2005"
7755,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Lassa Fever,36678,2302,May,2016,"Sunday, May 1, 2016"
7756,Oyo,"UCH - University College Hospital, Ibadan",Malaria,20190,9640,July,2006,"Saturday, July 1, 2006"
7757,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Cholera,39852,5544,November,2016,"Tuesday, November 1, 2016"
7758,Imo,FMC Owerri - Federal Medical Centre,Typhoid,44687,4940,October,2002,"Tuesday, October 1, 2002"
7759,Lagos,LASUTH - Lagos State University Teaching Hospital,Measles,70018,14424,July,2015,"Wednesday, July 1, 2015"
7760,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Typhoid,64550,16063,May,2022,"Sunday, May 1, 2022"
7761,Lagos,LASUTH - Lagos State University Teaching Hospital,Tuberculosis,53567,17485,September,2014,"Monday, September 1, 2014"
7762,Ogun,FMC Abeokuta - Federal Medical Centre,Typhoid,15705,5568,December,2015,"Tuesday, December 1, 2015"
7763,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Typhoid,9657,773,June,2010,"Tuesday, June 1, 2010"
7764,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Lassa Fever,73692,13532,June,2009,"Monday, June 1, 2009"
7765,Lagos,LASUTH - Lagos State University Teaching Hospital,Malaria,34209,3627,August,2016,"Monday, August 1, 2016"
7766,Kogi,FMC Lokoja - Federal Medical Centre,Tuberculosis,11408,495,February,2000,"Tuesday, February 1, 2000"
7767,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,52060,12949,August,2006,"Tuesday, August 1, 2006"
7768,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,13512,5991,December,2002,"Sunday, December 1, 2002"
7769,Enugu,UNTH - University of Nigeria Teaching Hospital,Tuberculosis,33610,15602,August,2014,"Friday, August 1, 2014"
7770,Ogun,FMC Abeokuta - Federal Medical Centre,Cholera,55329,27324,July,2013,"Monday, July 1, 2013"
7771,Edo,UBTH - University of Benin Teaching Hospital,Malaria,6718,3115,August,2002,"Thursday, August 1, 2002"
7772,Plateau,JUTH - Jos University Teaching Hospital,Typhoid,73931,14568,April,2011,"Friday, April 1, 2011"
7773,Bayelsa,FMC Yenagoa - Federal Medical Centre,Measles,10808,4540,June,2009,"Monday, June 1, 2009"
7774,Enugu,UNTH - University of Nigeria Teaching Hospital,Typhoid,70595,4787,August,2008,"Friday, August 1, 2008"
7775,Abia,FMC Umuahia - Federal Medical Centre,Tuberculosis,56623,7131,August,2013,"Thursday, August 1, 2013"
7776,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,69781,7168,March,2006,"Wednesday, March 1, 2006"
7777,Nasarawa,FMC Keffi - Federal Medical Centre,Typhoid,18383,7599,June,2001,"Friday, June 1, 2001"
7778,Oyo,"UCH - University College Hospital, Ibadan",Cholera,27213,11636,October,2001,"Monday, October 1, 2001"
7779,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Typhoid,22770,11042,September,2024,"Sunday, September 1, 2024"
7780,Lagos,LUTH - Lagos University Teaching Hospital,Malaria,24557,9642,April,2001,"Sunday, April 1, 2001"
7781,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,75418,28054,January,2005,"Saturday, January 1, 2005"
7782,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,37285,8691,January,2009,"Thursday, January 1, 2009"
7783,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,68135,15088,November,2009,"Sunday, November 1, 2009"
7784,Abia,FMC Umuahia - Federal Medical Centre,Cholera,11356,4772,April,2009,"Wednesday, April 1, 2009"
7785,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,28110,8205,December,2004,"Wednesday, December 1, 2004"
7786,Bayelsa,FMC Yenagoa - Federal Medical Centre,Tuberculosis,47648,15399,October,2010,"Friday, October 1, 2010"
7787,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Measles,15503,2689,February,2002,"Friday, February 1, 2002"
7788,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,68634,21450,September,2011,"Thursday, September 1, 2011"
7789,Delta,DELTA FMC - Federal Medical Centre Asaba,Typhoid,18019,7392,January,2023,"Sunday, January 1, 2023"
7790,Lagos,LASUTH - Lagos State University Teaching Hospital,Lassa Fever,59858,28553,May,2011,"Sunday, May 1, 2011"
7791,Nasarawa,FMC Keffi - Federal Medical Centre,Lassa Fever,63333,7209,March,2014,"Saturday, March 1, 2014"
7792,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,64823,18106,August,2018,"Wednesday, August 1, 2018"
7793,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,30600,4184,July,2001,"Sunday, July 1, 2001"
7794,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,13911,4263,March,2003,"Saturday, March 1, 2003"
7795,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,41730,16562,March,2010,"Monday, March 1, 2010"
7796,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Malaria,4410,710,January,2017,"Sunday, January 1, 2017"
7797,Edo,UBTH - University of Benin Teaching Hospital,Lassa Fever,9139,3856,February,2023,"Wednesday, February 1, 2023"
7798,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,33573,3366,May,2007,"Tuesday, May 1, 2007"
7799,Plateau,JUTH - Jos University Teaching Hospital,Typhoid,64788,31587,March,2023,"Wednesday, March 1, 2023"
7800,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,18220,1174,October,2001,"Monday, October 1, 2001"
7801,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,36454,10602,March,2023,"Wednesday, March 1, 2023"
7802,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,15986,3018,September,2022,"Thursday, September 1, 2022"
7803,Delta,DELTA FMC - Federal Medical Centre Asaba,Tuberculosis,57359,15883,March,2018,"Thursday, March 1, 2018"
7804,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,78704,6743,January,2000,"Saturday, January 1, 2000"
7805,Delta,DELTA FMC - Federal Medical Centre Asaba,Lassa Fever,20094,7254,June,2002,"Saturday, June 1, 2002"
7806,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,17099,5849,December,2024,"Sunday, December 1, 2024"
7807,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,67646,16468,August,2009,"Saturday, August 1, 2009"
7808,Nasarawa,FMC Keffi - Federal Medical Centre,Malaria,21881,7404,July,2024,"Monday, July 1, 2024"
7809,Plateau,BUTH - Bingham University Teaching Hospital,Measles,32341,10685,February,2007,"Thursday, February 1, 2007"
7810,Oyo,"UCH - University College Hospital, Ibadan",Cholera,34770,16738,February,2001,"Thursday, February 1, 2001"
7811,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,62011,10083,July,2001,"Sunday, July 1, 2001"
7812,Abia,FMC Umuahia - Federal Medical Centre,Lassa Fever,63385,22396,July,2001,"Sunday, July 1, 2001"
7813,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,63465,14861,September,2004,"Wednesday, September 1, 2004"
7814,Edo,UBTH - University of Benin Teaching Hospital,Malaria,12609,2483,October,2006,"Sunday, October 1, 2006"
7815,Edo,UBTH - University of Benin Teaching Hospital,Measles,14831,3039,March,2004,"Monday, March 1, 2004"
7816,Kogi,FMC Lokoja - Federal Medical Centre,Measles,1003,461,July,2018,"Sunday, July 1, 2018"
7817,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,66677,5438,October,2019,"Tuesday, October 1, 2019"
7818,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,30278,2594,April,2004,"Thursday, April 1, 2004"
7819,Edo,UBTH - University of Benin Teaching Hospital,Typhoid,45291,15455,February,2013,"Friday, February 1, 2013"
7820,Oyo,"UCH - University College Hospital, Ibadan",Typhoid,12438,3759,November,2010,"Monday, November 1, 2010"
7821,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Measles,76144,22657,June,2024,"Saturday, June 1, 2024"
7822,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Measles,36060,12897,July,2011,"Friday, July 1, 2011"
7823,Kogi,FMC Lokoja - Federal Medical Centre,Cholera,39945,14597,March,2011,"Tuesday, March 1, 2011"
7824,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Lassa Fever,22553,6424,June,2007,"Friday, June 1, 2007"
7825,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,8038,3936,November,2021,"Monday, November 1, 2021"
7826,Plateau,JUTH - Jos University Teaching Hospital,Malaria,23801,5093,November,2010,"Monday, November 1, 2010"
7827,Nasarawa,FMC Keffi - Federal Medical Centre,Cholera,29952,6595,May,2002,"Wednesday, May 1, 2002"
7828,Plateau,BUTH - Bingham University Teaching Hospital,Cholera,65549,21964,November,2016,"Tuesday, November 1, 2016"
7829,Oyo,"UCH - University College Hospital, Ibadan",Lassa Fever,23814,10087,October,2004,"Friday, October 1, 2004"
7830,Edo,UBTH - University of Benin Teaching Hospital,Measles,62357,20684,December,2011,"Thursday, December 1, 2011"
7831,Nasarawa,FMC Keffi - Federal Medical Centre,Malaria,72113,16226,May,2018,"Tuesday, May 1, 2018"
7832,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,5469,489,September,2018,"Saturday, September 1, 2018"
7833,Bayelsa,FMC Yenagoa - Federal Medical Centre,Measles,75316,19361,October,2006,"Sunday, October 1, 2006"
7834,Kogi,FMC Lokoja - Federal Medical Centre,Cholera,8916,470,November,2020,"Sunday, November 1, 2020"
7835,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,14088,4953,July,2011,"Friday, July 1, 2011"
7836,Kogi,FMC Lokoja - Federal Medical Centre,Malaria,71535,7153,August,2009,"Saturday, August 1, 2009"
7837,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Lassa Fever,35036,14062,April,2004,"Thursday, April 1, 2004"
7838,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Measles,23834,187,June,2020,"Monday, June 1, 2020"
7839,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Tuberculosis,49023,17341,April,2019,"Monday, April 1, 2019"
7840,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,44272,12055,May,2013,"Wednesday, May 1, 2013"
7841,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,46255,9345,November,2000,"Wednesday, November 1, 2000"
7842,Kogi,FMC Lokoja - Federal Medical Centre,Lassa Fever,24945,3500,August,2011,"Monday, August 1, 2011"
7843,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,64763,26945,September,2016,"Thursday, September 1, 2016"
7844,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,24793,4291,November,2018,"Thursday, November 1, 2018"
7845,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Measles,43900,15648,June,2001,"Friday, June 1, 2001"
7846,Ogun,FMC Abeokuta - Federal Medical Centre,Lassa Fever,6804,3315,November,2022,"Tuesday, November 1, 2022"
7847,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,12018,4377,November,2014,"Saturday, November 1, 2014"
7848,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,33909,10205,October,2015,"Thursday, October 1, 2015"
7849,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,58269,13885,June,2004,"Tuesday, June 1, 2004"
7850,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,26640,4340,January,2022,"Saturday, January 1, 2022"
7851,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Measles,50201,2063,October,2001,"Monday, October 1, 2001"
7852,Bayelsa,FMC Yenagoa - Federal Medical Centre,Typhoid,74935,17621,May,2004,"Saturday, May 1, 2004"
7853,Ogun,FMC Abeokuta - Federal Medical Centre,Typhoid,69630,6657,February,2012,"Wednesday, February 1, 2012"
7854,Abia,FMC Umuahia - Federal Medical Centre,Malaria,18016,8878,March,2014,"Saturday, March 1, 2014"
7855,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,2908,499,September,2023,"Friday, September 1, 2023"
7856,Edo,UBTH - University of Benin Teaching Hospital,Cholera,68476,33470,February,2021,"Monday, February 1, 2021"
